"","value","L1"
"FBXL13","FBXL13",3
"FBXO6","FBXO6",3
"FKBP1AP1","FKBP1AP1",3
"FLCN","FLCN",3
"FLJ26850","FLJ26850",3
"FLVCR2","FLVCR2",3
"FMO5","FMO5",3
"FN1","FN1",3
"FOXK2","FOXK2",3
"FRMD4A","FRMD4A",3
"FRY-AS1","FRY-AS1",3
"FXYD1","FXYD1",3
"GAB2","GAB2",3
"GABPA","GABPA",3
"GALM","GALM",3
"GALNT11","GALNT11",3
"GAS6","GAS6",3
"GBP3","GBP3",3
"GEMIN7","GEMIN7",3
"GGA1","GGA1",3
"GGA3","GGA3",3
"GLIPR1L1","GLIPR1L1",3
"GNA12","GNA12",3
"GNMT","GNMT",3
"GNPDA2","GNPDA2",3
"GNRHR","GNRHR",3
"GOLGA8N","GOLGA8N",3
"GOLGB1","GOLGB1",3
"GOLM1","GOLM1",3
"GP6","GP6",3
"GPATCH11","GPATCH11",3
"GPR152","GPR152",3
"GPR160","GPR160",3
"GPR55","GPR55",3
"GPX3","GPX3",3
"GREB1L","GREB1L",3
"GRIN1","GRIN1",3
"GRIN2C","GRIN2C",3
"GRIN3A","GRIN3A",3
"GRPEL1","GRPEL1",3
"GSK3A","GSK3A",3
"GSK3B","GSK3B",3
"GSPT1","GSPT1",3
"GTPBP1","GTPBP1",3
"GTSE1-AS1","GTSE1-AS1",3
"HABP4","HABP4",3
"HCRTR1","HCRTR1",3
"HIGD1B","HIGD1B",3
"HLA-A","HLA-A",3
"HMMR-AS1","HMMR-AS1",3
"HNF1A","HNF1A",3
"HNRNPF","HNRNPF",3
"HPD","HPD",3
"HPDL","HPDL",3
"HRNR","HRNR",3
"HSBP1L1","HSBP1L1",3
"HSDL2","HSDL2",3
"HSF1","HSF1",3
"HSPG2","HSPG2",3
"HTR2B","HTR2B",3
"ICA1L","ICA1L",3
"IDH3G","IDH3G",3
"IDI1","IDI1",3
"IDNK","IDNK",3
"IFIT5","IFIT5",3
"IGF2BP3","IGF2BP3",3
"IKZF3","IKZF3",3
"IKZF5","IKZF5",3
"IL12RB2","IL12RB2",3
"IL17B","IL17B",3
"IL32","IL32",3
"INTS6","INTS6",3
"IQCH","IQCH",3
"IRF5","IRF5",3
"IRF7","IRF7",3
"IRGQ","IRGQ",3
"ITCH","ITCH",3
"ITGA9","ITGA9",3
"ITIH3","ITIH3",3
"ITM2A","ITM2A",3
"IVNS1ABP","IVNS1ABP",3
"JMJD8","JMJD8",3
"JOSD2","JOSD2",3
"JTB","JTB",3
"KATNAL2","KATNAL2",3
"KCNAB1","KCNAB1",3
"KCNC1","KCNC1",3
"KCNJ1","KCNJ1",3
"KCNJ13","KCNJ13",3
"KCTD19","KCTD19",3
"KCTD20","KCTD20",3
"KDM7A","KDM7A",3
"KIAA1033","KIAA1033",3
"KIAA1147","KIAA1147",3
"KIAA1407","KIAA1407",3
"KIAA1432","KIAA1432",3
"KIF22","KIF22",3
"KIF2C","KIF2C",3
"KLC2","KLC2",3
"KLHDC2","KLHDC2",3
"KMT2A","KMT2A",3
"KNG1","KNG1",3
"KRBA1","KRBA1",3
"LAMB1","LAMB1",3
"LAMTOR3","LAMTOR3",3
"LAMTOR5","LAMTOR5",3
"LAS1L","LAS1L",3
"LAT2","LAT2",3
"LCTL","LCTL",3
"LDHAL6A","LDHAL6A",3
"LENG1","LENG1",3
"LETM2","LETM2",3
"LINC00176","LINC00176",3
"LINC00238","LINC00238",3
"LINC01011","LINC01011",3
"LINC01314","LINC01314",3
"LMTK2","LMTK2",3
"LOC100128573","LOC100128573",3
"LOC100128770","LOC100128770",3
"LOC100129216","LOC100129216",3
"LOC100129361","LOC100129361",3
"LOC100131691","LOC100131691",3
"LOC100132057","LOC100132057",3
"LOC100288123","LOC100288123",3
"LOC100289230","LOC100289230",3
"LOC100422556","LOC100422556",3
"LOC100505658","LOC100505658",3
"LOC100505716","LOC100505716",3
"LOC100506100","LOC100506100",3
"LOC100506321","LOC100506321",3
"LOC100506655","LOC100506655",3
"LOC100506713","LOC100506713",3
"LOC100507156","LOC100507156",3
"LOC101927018","LOC101927018",3
"LOC101927027","LOC101927027",3
"LOC101927131","LOC101927131",3
"LOC101928020","LOC101928020",3
"LOC101928784","LOC101928784",3
"LOC101928855","LOC101928855",3
"LOC101928909","LOC101928909",3
"LOC101929512","LOC101929512",3
"LOC101929591","LOC101929591",3
"LOC101929760","LOC101929760",3
"LOC102724820","LOC102724820",3
"LOC148413","LOC148413",3
"LOC285740","LOC285740",3
"LOC285847","LOC285847",3
"LOC339059","LOC339059",3
"LOC388849","LOC388849",3
"LOC441454","LOC441454",3
"LOC645513","LOC645513",3
"LOC652276","LOC652276",3
"LONP2","LONP2",3
"LPP","LPP",3
"LPPR2","LPPR2",3
"LRCOL1","LRCOL1",3
"LRRC32","LRRC32",3
"LRRC4B","LRRC4B",3
"LRRC61","LRRC61",3
"LRRC75A-AS1","LRRC75A-AS1",3
"LXN","LXN",3
"LY6G6E","LY6G6E",3
"MACF1","MACF1",3
"MADCAM1","MADCAM1",3
"MAN2A2","MAN2A2",3
"MAN2B2","MAN2B2",3
"MAP3K13","MAP3K13",3
"MAP3K14-AS1","MAP3K14-AS1",3
"MAP3K6","MAP3K6",3
"MAP7D1","MAP7D1",3
"MAPKAP1","MAPKAP1",3
"MAPT","MAPT",3
"MAST1","MAST1",3
"MATN2","MATN2",3
"MB21D1","MB21D1",3
"MCMBP","MCMBP",3
"MCOLN1","MCOLN1",3
"MDM4","MDM4",3
"MED12","MED12",3
"MED12L","MED12L",3
"MED31","MED31",3
"MEST","MEST",3
"METAP1","METAP1",3
"MIER1","MIER1",3
"MIF4GD","MIF4GD",3
"MIR103B2","MIR103B2",3
"MIR133A1HG","MIR133A1HG",3
"MIR324","MIR324",3
"MIR374C","MIR374C",3
"MIR4656","MIR4656",3
"MIR4746","MIR4746",3
"MIRLET7DHG","MIRLET7DHG",3
"MLANA","MLANA",3
"MLF2","MLF2",3
"MLH1","MLH1",3
"MLLT11","MLLT11",3
"MMS19","MMS19",3
"MRPL20","MRPL20",3
"MRPS18C","MRPS18C",3
"MRVI1","MRVI1",3
"MST1","MST1",3
"MTMR2","MTMR2",3
"MUC12","MUC12",3
"MUC5B","MUC5B",3
"MUC6","MUC6",3
"MXD1","MXD1",3
"MXI1","MXI1",3
"MYCBP2","MYCBP2",3
"MYLK","MYLK",3
"MYLK-AS1","MYLK-AS1",3
"MYO15A","MYO15A",3
"MYO18A","MYO18A",3
"NAP1L5","NAP1L5",3
"NASP","NASP",3
"NAT9","NAT9",3
"NCBP1","NCBP1",3
"NCBP2","NCBP2",3
"NDST2","NDST2",3
"NEB","NEB",3
"NEIL1","NEIL1",3
"NELFB","NELFB",3
"NEXN-AS1","NEXN-AS1",3
"NGLY1","NGLY1",3
"NICN1","NICN1",3
"NIPBL","NIPBL",3
"NKIRAS1","NKIRAS1",3
"NLRP9","NLRP9",3
"NME4","NME4",3
"NME9","NME9",3
"NNAT","NNAT",3
"NPIPB3","NPIPB3",3
"NPLOC4","NPLOC4",3
"NPRL3","NPRL3",3
"NR2C2AP","NR2C2AP",3
"NR3C2","NR3C2",3
"NT5E","NT5E",3
"NTAN1","NTAN1",3
"NTN1","NTN1",3
"NUMA1","NUMA1",3
"NUP210L","NUP210L",3
"NUP88","NUP88",3
"NUTM2B","NUTM2B",3
"NUTM2D","NUTM2D",3
"OAZ2","OAZ2",3
"OGFR","OGFR",3
"OLFML1","OLFML1",3
"OPA1","OPA1",3
"OPTN","OPTN",3
"OXNAD1","OXNAD1",3
"P2RX5-TAX1BP3","P2RX5-TAX1BP3",3
"PAGR1","PAGR1",3
"PAN2","PAN2",3
"PAPOLA","PAPOLA",3
"PAPPA","PAPPA",3
"PARP2","PARP2",3
"PAX8","PAX8",3
"PBLD","PBLD",3
"PBXIP1","PBXIP1",3
"PCIF1","PCIF1",3
"PCP2","PCP2",3
"PCYOX1","PCYOX1",3
"PDE4DIP","PDE4DIP",3
"PDE7A","PDE7A",3
"PDPK1","PDPK1",3
"PDXP","PDXP",3
"PDZD2","PDZD2",3
"PDZD9","PDZD9",3
"PGF","PGF",3
"PGLYRP1","PGLYRP1",3
"PGM1","PGM1",3
"PGM5P2","PGM5P2",3
"PHACTR1","PHACTR1",3
"PHC3","PHC3",3
"PHPT1","PHPT1",3
"PIAS4","PIAS4",3
"PIPSL","PIPSL",3
"PITRM1","PITRM1",3
"PLAC9","PLAC9",3
"PLCH2","PLCH2",3
"PLIN4","PLIN4",3
"PLN","PLN",3
"PLXNB3","PLXNB3",3
"PNMA5","PNMA5",3
"POLDIP2","POLDIP2",3
"POLE4","POLE4",3
"POP5","POP5",3
"POU2F1","POU2F1",3
"POU5F1","POU5F1",3
"PPL","PPL",3
"PPP2R2A","PPP2R2A",3
"PPP2R5D","PPP2R5D",3
"PRAP1","PRAP1",3
"PRKD3","PRKD3",3
"PRKX-AS1","PRKX-AS1",3
"PRMT9","PRMT9",3
"PROCA1","PROCA1",3
"PRPF4B","PRPF4B",3
"PRPF6","PRPF6",3
"PRR29","PRR29",3
"PRRT2","PRRT2",3
"PRRT3","PRRT3",3
"PSMA3","PSMA3",3
"PSMB10","PSMB10",3
"PSMC1","PSMC1",3
"PSMD5-AS1","PSMD5-AS1",3
"PSMD6","PSMD6",3
"PSTPIP1","PSTPIP1",3
"PTCD3","PTCD3",3
"PTRH2","PTRH2",3
"PVRIG","PVRIG",3
"PZP","PZP",3
"RAB11B","RAB11B",3
"RAB15","RAB15",3
"RABGAP1L","RABGAP1L",3
"RAD51","RAD51",3
"RAD52","RAD52",3
"RANBP1","RANBP1",3
"RAPH1","RAPH1",3
"RASA1","RASA1",3
"RASA3","RASA3",3
"RASGRP1","RASGRP1",3
"RASGRP3","RASGRP3",3
"RASSF1","RASSF1",3
"RASSF5","RASSF5",3
"RBM26","RBM26",3
"RBMXL1","RBMXL1",3
"RBP5","RBP5",3
"RBPMS","RBPMS",3
"RCC2","RCC2",3
"RECQL5","RECQL5",3
"REXO1","REXO1",3
"RGS20","RGS20",3
"RICTOR","RICTOR",3
"RNF146","RNF146",3
"RNF169","RNF169",3
"RNMTL1","RNMTL1",3
"RNU6-78P","RNU6-78P",3
"RORA","RORA",3
"RPL23AP64","RPL23AP64",3
"RPL24","RPL24",3
"RPL26","RPL26",3
"RPL27A","RPL27A",3
"RPS6KA2-AS1","RPS6KA2-AS1",3
"RREB1","RREB1",3
"RTEL1","RTEL1",3
"RTN4IP1","RTN4IP1",3
"RUNX1","RUNX1",3
"RYR3","RYR3",3
"SAMD3","SAMD3",3
"SCAP","SCAP",3
"SCUBE3","SCUBE3",3
"SDCBP","SDCBP",3
"SEC22C","SEC22C",3
"SEC24C","SEC24C",3
"SEMA4D","SEMA4D",3
"SEPT11","SEPT11",3
"SERPINB1","SERPINB1",3
"SERPINE3","SERPINE3",3
"SETMAR","SETMAR",3
"SEZ6","SEZ6",3
"SGOL1","SGOL1",3
"SGSM2","SGSM2",3
"SH3BP2","SH3BP2",3
"SHPRH","SHPRH",3
"SLC10A1","SLC10A1",3
"SLC22A5","SLC22A5",3
"SLC25A36","SLC25A36",3
"SLC25A38","SLC25A38",3
"SLC25A45","SLC25A45",3
"SLC26A5","SLC26A5",3
"SLC27A1","SLC27A1",3
"SLC35A1","SLC35A1",3
"SLC35A3","SLC35A3",3
"SLC39A4","SLC39A4",3
"SLC7A7","SLC7A7",3
"SLC9A8","SLC9A8",3
"SMEK1","SMEK1",3
"SMIM5","SMIM5",3
"SMIM6","SMIM6",3
"SMURF1","SMURF1",3
"SNAI3","SNAI3",3
"SNAPC3","SNAPC3",3
"SNF8","SNF8",3
"SNORA57","SNORA57",3
"SNORA70G","SNORA70G",3
"SNRK","SNRK",3
"SNRPF","SNRPF",3
"SNW1","SNW1",3
"SNX14","SNX14",3
"SOX15","SOX15",3
"SPAG17","SPAG17",3
"SPAG7","SPAG7",3
"SPDYE6","SPDYE6",3
"SPDYE8P","SPDYE8P",3
"SPIRE2","SPIRE2",3
"SPON1","SPON1",3
"SREBF1","SREBF1",3
"SREK1","SREK1",3
"SRP72","SRP72",3
"SRSF12","SRSF12",3
"SSBP3-AS1","SSBP3-AS1",3
"ST3GAL4-AS1","ST3GAL4-AS1",3
"ST5","ST5",3
"ST7-AS2","ST7-AS2",3
"ST7L","ST7L",3
"STAR","STAR",3
"STAT3","STAT3",3
"STK16","STK16",3
"STK17A","STK17A",3
"STRN4","STRN4",3
"SUDS3","SUDS3",3
"SUMF2","SUMF2",3
"SUV39H1","SUV39H1",3
"SUZ12P1","SUZ12P1",3
"SV2C","SV2C",3
"SZRD1","SZRD1",3
"TAF1","TAF1",3
"TAGAP","TAGAP",3
"TAOK1","TAOK1",3
"TBC1D20","TBC1D20",3
"TBC1D9","TBC1D9",3
"TBC1D9B","TBC1D9B",3
"TBCB","TBCB",3
"TCEA2","TCEA2",3
"TENC1","TENC1",3
"TENM1","TENM1",3
"THBS3","THBS3",3
"THRB","THRB",3
"TIMM8B","TIMM8B",3
"TIMM9","TIMM9",3
"TLR5","TLR5",3
"TLR9","TLR9",3
"TMED4","TMED4",3
"TMED5","TMED5",3
"TMEM14E","TMEM14E",3
"TMEM175","TMEM175",3
"TMEM181","TMEM181",3
"TMEM222","TMEM222",3
"TMEM255A","TMEM255A",3
"TMEM45B","TMEM45B",3
"TMEM63A","TMEM63A",3
"TMEM74B","TMEM74B",3
"TMX3","TMX3",3
"TNFAIP8","TNFAIP8",3
"TOB2","TOB2",3
"TOP1MT","TOP1MT",3
"TOR1A","TOR1A",3
"TOR2A","TOR2A",3
"TP53","TP53",3
"TP53BP2","TP53BP2",3
"TRAM2","TRAM2",3
"TREX1","TREX1",3
"TRIM45","TRIM45",3
"TRUB2","TRUB2",3
"TSC2","TSC2",3
"TSPO2","TSPO2",3
"TSR2","TSR2",3
"TTC21B-AS1","TTC21B-AS1",3
"TTC28-AS1","TTC28-AS1",3
"TTC3","TTC3",3
"TTC33","TTC33",3
"TTN","TTN",3
"TTN-AS1","TTN-AS1",3
"TTYH1","TTYH1",3
"TUBA3D","TUBA3D",3
"TYMSOS","TYMSOS",3
"U2AF2","U2AF2",3
"UBA1","UBA1",3
"UBA5","UBA5",3
"UBE2N","UBE2N",3
"UBXN1","UBXN1",3
"UCKL1","UCKL1",3
"UNC50","UNC50",3
"USF2","USF2",3
"USP14","USP14",3
"USP40","USP40",3
"USP45","USP45",3
"USP49","USP49",3
"VAMP1","VAMP1",3
"VCL","VCL",3
"VMP1","VMP1",3
"VTI1B","VTI1B",3
"WDFY2","WDFY2",3
"WNT8B","WNT8B",3
"WSB2","WSB2",3
"XPA","XPA",3
"XPC","XPC",3
"XRCC3","XRCC3",3
"YIF1B","YIF1B",3
"YTHDF2","YTHDF2",3
"ZBED2","ZBED2",3
"ZBTB17","ZBTB17",3
"ZBTB20-AS1","ZBTB20-AS1",3
"ZBTB37","ZBTB37",3
"ZBTB44","ZBTB44",3
"ZBTB5","ZBTB5",3
"ZCCHC6","ZCCHC6",3
"ZFHX3","ZFHX3",3
"ZFYVE19","ZFYVE19",3
"ZNF124","ZNF124",3
"ZNF410","ZNF410",3
"ZNF433","ZNF433",3
"ZNF550","ZNF550",3
"ZNF571","ZNF571",3
"ZNF629","ZNF629",3
"ZNF674","ZNF674",3
"ZNF784","ZNF784",3
"ZNF80","ZNF80",3
"ZNF850","ZNF850",3
"ZRANB3","ZRANB3",3
"ZSCAN16-AS1","ZSCAN16-AS1",3
"ZSWIM8","ZSWIM8",3
"A2ML1","A2ML1",4
"ABHD16A","ABHD16A",4
"ABI2","ABI2",4
"ACSF3","ACSF3",4
"ACSL5","ACSL5",4
"ACYP2","ACYP2",4
"AKAP8","AKAP8",4
"AKIRIN1","AKIRIN1",4
"ANKDD1A","ANKDD1A",4
"ANKRD53","ANKRD53",4
"APH1A","APH1A",4
"APPL2","APPL2",4
"ARCN1","ARCN1",4
"ARSB","ARSB",4
"ATP2C1","ATP2C1",4
"ATP8B1","ATP8B1",4
"ATXN1","ATXN1",4
"BAHD1","BAHD1",4
"BBS4","BBS4",4
"BCAR3","BCAR3",4
"BCORL1","BCORL1",4
"BOLA3-AS1","BOLA3-AS1",4
"BRD7","BRD7",4
"BRD7P3","BRD7P3",4
"BRF1","BRF1",4
"BROX","BROX",4
"BRWD1","BRWD1",4
"C11orf48","C11orf48",4
"C19orf83","C19orf83",4
"C1orf200","C1orf200",4
"C2orf16","C2orf16",4
"C2orf81","C2orf81",4
"C9orf16","C9orf16",4
"C9orf84","C9orf84",4
"CAMTA2","CAMTA2",4
"CBX1","CBX1",4
"CCDC107","CCDC107",4
"CCDC37","CCDC37",4
"CCDC65","CCDC65",4
"CCDC88B","CCDC88B",4
"CCDC88C","CCDC88C",4
"CCNJ","CCNJ",4
"CCSAP","CCSAP",4
"CDC40","CDC40",4
"CDK17","CDK17",4
"CERK","CERK",4
"CGREF1","CGREF1",4
"CHAC2","CHAC2",4
"CLEC2D","CLEC2D",4
"CLHC1","CLHC1",4
"CLOCK","CLOCK",4
"CNOT11","CNOT11",4
"COG1","COG1",4
"CORIN","CORIN",4
"CPSF1","CPSF1",4
"CREBZF","CREBZF",4
"CRIM1","CRIM1",4
"CTNNA1","CTNNA1",4
"CYP20A1","CYP20A1",4
"DAZAP2","DAZAP2",4
"DCAF11","DCAF11",4
"DDB1","DDB1",4
"DDX27","DDX27",4
"DGCR9","DGCR9",4
"DIO1","DIO1",4
"DLEU7","DLEU7",4
"DNAAF2","DNAAF2",4
"DNAJA2","DNAJA2",4
"DZIP3","DZIP3",4
"EDC3","EDC3",4
"EIF3E","EIF3E",4
"ELMOD3","ELMOD3",4
"EML2","EML2",4
"EMR2","EMR2",4
"ENDOU","ENDOU",4
"ENTPD7","ENTPD7",4
"ERP29","ERP29",4
"FAM186B","FAM186B",4
"FAM196B","FAM196B",4
"FAM208B","FAM208B",4
"FAT2","FAT2",4
"FBXL19-AS1","FBXL19-AS1",4
"FBXL2","FBXL2",4
"FBXO40","FBXO40",4
"FCHSD2","FCHSD2",4
"FDPSP2","FDPSP2",4
"FKBP1A","FKBP1A",4
"FKBP9","FKBP9",4
"FLJ21408","FLJ21408",4
"FLJ31306","FLJ31306",4
"FOXRED1","FOXRED1",4
"FRMD5","FRMD5",4
"FUBP1","FUBP1",4
"GABARAPL2","GABARAPL2",4
"GARS","GARS",4
"GBA2","GBA2",4
"GCNT7","GCNT7",4
"GNA15","GNA15",4
"GNE","GNE",4
"GNG5","GNG5",4
"GNL3","GNL3",4
"GNPDA1","GNPDA1",4
"GNPTAB","GNPTAB",4
"GORASP1","GORASP1",4
"GPR124","GPR124",4
"GSAP","GSAP",4
"GSG2","GSG2",4
"GTF3A","GTF3A",4
"GTPBP8","GTPBP8",4
"HERC3","HERC3",4
"HEXIM2","HEXIM2",4
"HGS","HGS",4
"HNRNPAB","HNRNPAB",4
"IGSF6","IGSF6",4
"INTS4","INTS4",4
"IPO4","IPO4",4
"IQCK","IQCK",4
"ITGB2-AS1","ITGB2-AS1",4
"JAG1","JAG1",4
"JPH4","JPH4",4
"KCNH1","KCNH1",4
"KCNIP4","KCNIP4",4
"KIF11","KIF11",4
"KLC3","KLC3",4
"KLF9","KLF9",4
"KLHL29","KLHL29",4
"KRT10","KRT10",4
"KRT8","KRT8",4
"LEO1","LEO1",4
"LINC00854","LINC00854",4
"LINC01279","LINC01279",4
"LNPEP","LNPEP",4
"LOC100128361","LOC100128361",4
"LOC100129518","LOC100129518",4
"LOC100131564","LOC100131564",4
"LOC100289019","LOC100289019",4
"LOC100506314","LOC100506314",4
"LOC100507564","LOC100507564",4
"LOC101927905","LOC101927905",4
"LOC101928736","LOC101928736",4
"LOC101929746","LOC101929746",4
"LOC146880","LOC146880",4
"LOC283710","LOC283710",4
"LOC339529","LOC339529",4
"LOC389906","LOC389906",4
"LOC641367","LOC641367",4
"LOC642236","LOC642236",4
"LOC728024","LOC728024",4
"LOX","LOX",4
"LRRC37A","LRRC37A",4
"LRRC48","LRRC48",4
"LUC7L3","LUC7L3",4
"LYAR","LYAR",4
"MAML3","MAML3",4
"MAPRE3","MAPRE3",4
"MAT2A","MAT2A",4
"MAZ","MAZ",4
"MED15","MED15",4
"MED19","MED19",4
"MLLT10","MLLT10",4
"MPP5","MPP5",4
"MRS2P2","MRS2P2",4
"MVP","MVP",4
"MYL6B","MYL6B",4
"NAGA","NAGA",4
"NAIP","NAIP",4
"NAPA","NAPA",4
"NBPF8","NBPF8",4
"NDUFB11","NDUFB11",4
"NEIL2","NEIL2",4
"NLGN3","NLGN3",4
"NOD1","NOD1",4
"NOD2","NOD2",4
"NTMT1","NTMT1",4
"NUDT22","NUDT22",4
"NUMB","NUMB",4
"OGT","OGT",4
"PALLD","PALLD",4
"PAQR3","PAQR3",4
"PARP14","PARP14",4
"PAXBP1-AS1","PAXBP1-AS1",4
"PCNA-AS1","PCNA-AS1",4
"PCNT","PCNT",4
"PEA15","PEA15",4
"PEX1","PEX1",4
"PEX6","PEX6",4
"PIH1D2","PIH1D2",4
"PIM1","PIM1",4
"PLCB3","PLCB3",4
"PNO1","PNO1",4
"POC1B","POC1B",4
"PODNL1","PODNL1",4
"POLH","POLH",4
"PPM1A","PPM1A",4
"PPP1R15B","PPP1R15B",4
"PPP2R3A","PPP2R3A",4
"PRKDC","PRKDC",4
"PRKRA","PRKRA",4
"PRPS1","PRPS1",4
"PRR19","PRR19",4
"PRUNE2","PRUNE2",4
"PTPN4","PTPN4",4
"RAB3GAP2","RAB3GAP2",4
"RABGEF1","RABGEF1",4
"RABL6","RABL6",4
"RANGRF","RANGRF",4
"RBM17","RBM17",4
"RBM5-AS1","RBM5-AS1",4
"RBMS2","RBMS2",4
"RER1","RER1",4
"RHBDL2","RHBDL2",4
"RHOBTB3","RHOBTB3",4
"RIT1","RIT1",4
"RMND1","RMND1",4
"RNF138","RNF138",4
"RNF141","RNF141",4
"RNF34","RNF34",4
"RNLS","RNLS",4
"RPL28","RPL28",4
"RPL36","RPL36",4
"RPL37","RPL37",4
"RPL38","RPL38",4
"RPS16P5","RPS16P5",4
"RPTOR","RPTOR",4
"RSRC2","RSRC2",4
"RUNDC3B","RUNDC3B",4
"SART3","SART3",4
"SCRN3","SCRN3",4
"SCYL3","SCYL3",4
"SDCBP2-AS1","SDCBP2-AS1",4
"SEPT9","SEPT9",4
"SETD9","SETD9",4
"SH2B3","SH2B3",4
"SLC12A4","SLC12A4",4
"SLC16A4","SLC16A4",4
"SLC23A1","SLC23A1",4
"SLC25A3","SLC25A3",4
"SLC2A4RG","SLC2A4RG",4
"SLC35E1","SLC35E1",4
"SLC37A2","SLC37A2",4
"SLC5A9","SLC5A9",4
"SLC6A4","SLC6A4",4
"SMARCC2","SMARCC2",4
"SMC1B","SMC1B",4
"SMIM15","SMIM15",4
"SPDYE1","SPDYE1",4
"ST6GAL1","ST6GAL1",4
"STBD1","STBD1",4
"STUB1","STUB1",4
"SURF4","SURF4",4
"SYT2","SYT2",4
"TAF6","TAF6",4
"TAP1","TAP1",4
"TARBP2","TARBP2",4
"TBCD","TBCD",4
"TGS1","TGS1",4
"TIRAP","TIRAP",4
"TMED7","TMED7",4
"TMEM115","TMEM115",4
"TNFRSF13B","TNFRSF13B",4
"TOB1","TOB1",4
"TPSG1","TPSG1",4
"TRIM14","TRIM14",4
"TRIM39","TRIM39",4
"TTC19","TTC19",4
"TTC39A","TTC39A",4
"UBASH3A","UBASH3A",4
"UBR4","UBR4",4
"UBR7","UBR7",4
"UNC45A","UNC45A",4
"VASN","VASN",4
"VASP","VASP",4
"VPS9D1-AS1","VPS9D1-AS1",4
"WDR96","WDR96",4
"WIPF1","WIPF1",4
"ZACN","ZACN",4
"ZDHHC8","ZDHHC8",4
"ZFAND5","ZFAND5",4
"ZNF106","ZNF106",4
"ZNF2","ZNF2",4
"ZNF250","ZNF250",4
"ZNF687","ZNF687",4
"A2MP1","A2MP1",5
"AFAP1-AS1","AFAP1-AS1",5
"AKAP5","AKAP5",5
"AKT1","AKT1",5
"ALG12","ALG12",5
"ALOX12","ALOX12",5
"ALS2CR12","ALS2CR12",5
"AMPH","AMPH",5
"ANAPC15","ANAPC15",5
"ANXA6","ANXA6",5
"AQP11","AQP11",5
"ARAP1","ARAP1",5
"ARHGAP27","ARHGAP27",5
"ARHGEF26","ARHGEF26",5
"ATAD5","ATAD5",5
"ATG14","ATG14",5
"ATP1A1-AS1","ATP1A1-AS1",5
"ATP2C2","ATP2C2",5
"ATP5H","ATP5H",5
"B9D2","B9D2",5
"BAD","BAD",5
"BCS1L","BCS1L",5
"BMP8A","BMP8A",5
"BSN","BSN",5
"BTBD2","BTBD2",5
"C11orf42","C11orf42",5
"C11orf80","C11orf80",5
"C12orf73","C12orf73",5
"C17orf53","C17orf53",5
"C19orf68","C19orf68",5
"C1orf146","C1orf146",5
"C2orf88","C2orf88",5
"C6orf136","C6orf136",5
"C9orf169","C9orf169",5
"CACNB2","CACNB2",5
"CALB1","CALB1",5
"CAMK1","CAMK1",5
"CARD14","CARD14",5
"CCDC104","CCDC104",5
"CCDC181","CCDC181",5
"CCT6P3","CCT6P3",5
"CD160","CD160",5
"CD48","CD48",5
"CD72","CD72",5
"CERS5","CERS5",5
"CFD","CFD",5
"CLASRP","CLASRP",5
"CLEC2B","CLEC2B",5
"CNTRL","CNTRL",5
"COA5","COA5",5
"COL4A4","COL4A4",5
"COQ6","COQ6",5
"COX20","COX20",5
"CREB1","CREB1",5
"CRLF3","CRLF3",5
"CUL4A","CUL4A",5
"DARS2","DARS2",5
"DCDC2B","DCDC2B",5
"DCLRE1C","DCLRE1C",5
"DDX56","DDX56",5
"DENND4A","DENND4A",5
"DHODH","DHODH",5
"DNAH1","DNAH1",5
"DNAJC17","DNAJC17",5
"DNAJC9-AS1","DNAJC9-AS1",5
"DOT1L","DOT1L",5
"DPP7","DPP7",5
"DRG1","DRG1",5
"ECT2L","ECT2L",5
"EFR3B","EFR3B",5
"EGLN1","EGLN1",5
"EML4","EML4",5
"ENTPD3","ENTPD3",5
"ERCC6L","ERCC6L",5
"EVA1C","EVA1C",5
"EZR-AS1","EZR-AS1",5
"FAM103A1","FAM103A1",5
"FAM13A","FAM13A",5
"FAM160B2","FAM160B2",5
"FAM184B","FAM184B",5
"FAM86HP","FAM86HP",5
"FAM98B","FAM98B",5
"FAS","FAS",5
"FDPS","FDPS",5
"FKBP4","FKBP4",5
"FOCAD","FOCAD",5
"FOXM1","FOXM1",5
"FOXP3","FOXP3",5
"FTSJ3","FTSJ3",5
"FXR2","FXR2",5
"GALNS","GALNS",5
"GALNT10","GALNT10",5
"GINS3","GINS3",5
"GLE1","GLE1",5
"GNB4","GNB4",5
"GNPTG","GNPTG",5
"GOLGA8H","GOLGA8H",5
"GPM6B","GPM6B",5
"GPR137","GPR137",5
"GPR155","GPR155",5
"GPR18","GPR18",5
"GRTP1","GRTP1",5
"GSE1","GSE1",5
"GSTO1","GSTO1",5
"GTF2F1","GTF2F1",5
"GUCY1B2","GUCY1B2",5
"GZF1","GZF1",5
"HACL1","HACL1",5
"HDAC5","HDAC5",5
"HECTD1","HECTD1",5
"HEXA-AS1","HEXA-AS1",5
"HEXIM1","HEXIM1",5
"HLA-J","HLA-J",5
"HMBOX1","HMBOX1",5
"HSPB9","HSPB9",5
"HSPD1","HSPD1",5
"ICMT","ICMT",5
"INTS4L2","INTS4L2",5
"ITIH2","ITIH2",5
"JAM3","JAM3",5
"JPX","JPX",5
"KCNIP2-AS1","KCNIP2-AS1",5
"KDELR3","KDELR3",5
"KMT2C","KMT2C",5
"KRTAP5-1","KRTAP5-1",5
"LARS","LARS",5
"LCA5L","LCA5L",5
"LENG9","LENG9",5
"LGALS8","LGALS8",5
